This list contains all games supported by FB Alpha.

434 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
; ghouls	;  	; Ghouls'n Ghosts (World)				; 		; 1988	; Capcom	; CPS1		; 					;
; gwinga	;  	; Giga Wing (990222 Asia)				; gigawing	; 1999	; Capcom	; CPS2		; 					;
; gwingb	;  	; Giga Wing (990222 Brazil)				; gigawing	; 1999	; Capcom	; CPS2		; 					;
; gigawing	;  	; Giga Wing (990222 USA)				; 		; 1999	; Capcom	; CPS2		; 					;
; gwingjd	;  	; Giga Wing (990223 Japan Phoenix Edition)		; gigawing	; 1999	; bootleg	; CPS2		; 					;
; gwingj	;  	; Giga Wing (990223 Japan)				; gigawing	; 1999	; Capcom	; CPS2		; 					;
; gmahou	;  	; Great Mahou Daisakusen (000121 Japan)			; dimahoo	; 2000	; 8ing / Raizing; CPS2		; 					;
; hsf2j		;  	; Hyper Street Fighter 2: The Anniversary Edition (03122; hsf2		; 2004	; Capcom	; CPS2		; 					;
; hsf2d		;  	; Hyper Street Fighter 2: The Anniversary Edition (04020; hsf2		; 2004	; bootleg	; CPS2		; 					;
; hsf2		;  	; Hyper Street Fighter 2: The Anniversary Edition (04020; 		; 2004	; Capcom	; CPS2		; 					;
; jojobane	;  	; JoJo's Bizarre Adventure: Heritage for the Future / Jo; jojoba	; 1999	; Capcom	; CPS-3		; 					;
; jojoba	;   NW	; JoJo's Bizarre Adventure: Heritage for the Future / Jo; 		; 1999	; Capcom	; CPS-3		; 					;
; jojoban	;  	; JoJo's Bizarre Adventure: Heritage for the Future / Jo; jojoba	; 1999	; Capcom	; CPS-3		; 					;
; jojon		;  	; JoJo's Venture / JoJo no Kimyouna Bouken (Asia 981202,; jojo		; 1998	; Capcom	; CPS-3		; 					;
; jojoaltn	;  	; JoJo's Venture / JoJo no Kimyouna Bouken (Asia 990108,; jojo		; 1998	; Capcom	; CPS-3		; 					;
; jojo		;   NW	; JoJo's Venture / JoJo no Kimyouna Bouken (Japan 981202; 		; 1998	; Capcom	; CPS-3		; 					;
; jojoalt	;   NW	; JoJo's Venture / JoJo no Kimyouna Bouken (Japan 990108; jojo		; 1998	; Capcom	; CPS-3		; 					;
; jyangoku	;  	; Jyangokushi  -Haoh no Saihai- (990527 Japan)		; 		; 1999	; Mitchell	; CPS2		; 					;
; knightsb	; D NW	; Knights of the Round (911127 etc bootleg set 1)	; knights	; 1991	; bootleg	; CPS1		; Some sprite problems			;
; knightsh	;  	; Knights of the Round (911127 etc bootleg set 2)	; knights	; 1991	; bootleg	; CPS1		; 					;
; knghtsha	;  	; Knights of the Round (911127 etc hack)		; knights	; 1991	; bootleg	; CPS1		; 					;
; knights	;  	; Knights of the Round (911127 etc)			; 		; 1991	; Capcom	; CPS1		; 					;
; knightsj	;  	; Knights of the Round (911127 Japan)			; knights	; 1991	; Capcom	; CPS1		; 					;
; knightsu	;  	; Knights of the Round (911127 USA)			; knights	; 1991	; Capcom	; CPS1		; 					;
; lostwrld	;  	; Lost Worlds (Japan)					; forgottn	; 1988	; Capcom	; CPS1		; 					;
; mswordj	;  	; Magic Sword (23.06.1990 Japan)			; msword	; 1990	; Capcom	; CPS1		; 					;
; mswordr1	;  	; Magic Sword - heroic fantasy (23.06.1990 other country; msword	; 1990	; Capcom	; CPS1		; 					;
; msword	;  	; Magic Sword - heroic fantasy (25.07.1990 other country; 		; 1990	; Capcom	; CPS1		; 					;
; mswordu	;  	; Magic Sword - heroic fantasy (25.07.1990 USA)		; msword	; 1990	; Capcom	; CPS1		; 					;
; mmatrixj	;  	; Mars Matrix (000412 Japan)				; mmatrix	; 2000	; Capcom / Takum; CPS2		; 					;
; mmatrixd	;  	; Mars Matrix (000412 USA Phoenix Edition)		; mmatrix	; 2000	; bootleg	; CPS2		; 					;
; mmatrix	;  	; Mars Matrix (000412 USA)				; 		; 2000	; Capcom / Takum; CPS2		; 					;
; msha		;  	; Marvel Super Heroes (951024 Asia)			; msh		; 1995	; Capcom	; CPS2		; 					;
; msh		;  	; Marvel Super Heroes (951024 Euro)			; 		; 1995	; Capcom	; CPS2		; 					;
; mshjr1	;  	; Marvel Super Heroes (951024 Japan)			; msh		; 1995	; Capcom	; CPS2		; 					;
; mshud		;  	; Marvel Super Heroes (951024 USA Phoenix Edition)	; msh		; 1995	; bootleg	; CPS2		; 					;
; mshu		;  	; Marvel Super Heroes (951024 USA)			; msh		; 1995	; Capcom	; CPS2		; 					;
; mshb		;  	; Marvel Super Heroes (951117 Brazil)			; msh		; 1995	; Capcom	; CPS2		; 					;
; mshh		;  	; Marvel Super Heroes (951117 Hispanic)			; msh		; 1995	; Capcom	; CPS2		; 					;
; mshj		;  	; Marvel Super Heroes (951117 Japan)			; msh		; 1995	; Capcom	; CPS2		; 					;
; mshvsfa1	;  	; Marvel Super Heroes vs Street Fighter (970620 Asia)	; mshvsf	; 1997	; Capcom	; CPS2		; 					;
; mshvsfa	;  	; Marvel Super Heroes vs Street Fighter (970625 Asia)	; mshvsf	; 1997	; Capcom	; CPS2		; 					;
; mshvsfb1	;  	; Marvel Super Heroes vs Street Fighter (970625 Brazil)	; mshvsf	; 1997	; Capcom	; CPS2		; 					;
; mshvsf	;  	; Marvel Super Heroes vs Street Fighter (970625 Euro)	; 		; 1997	; Capcom	; CPS2		; 					;
; mshvsfh	;  	; Marvel Super Heroes vs Street Fighter (970625 Hispanic; mshvsf	; 1997	; Capcom	; CPS2		; 					;
; mshvsfj2	;  	; Marvel Super Heroes vs Street Fighter (970625 Japan)	; mshvsf	; 1997	; Capcom	; CPS2		; 					;
; mshvsfu1	;  	; Marvel Super Heroes vs Street Fighter (970625 USA)	; mshvsf	; 1997	; Capcom	; CPS2		; 					;
; mshvsfj1	;  	; Marvel Super Heroes vs Street Fighter (970702 Japan)	; mshvsf	; 1997	; Capcom	; CPS2		; 					;
; mshvsfj	;  	; Marvel Super Heroes vs Street Fighter (970707 Japan)	; mshvsf	; 1997	; Capcom	; CPS2		; 					;
; mshvsfb	;  	; Marvel Super Heroes vs Street Fighter (970827 Brazil)	; mshvsf	; 1997	; Capcom	; CPS2		; 					;
; mshvsfu	;  	; Marvel Super Heroes vs Street Fighter (970827 USA)	; mshvsf	; 1997	; Capcom	; CPS2		; 					;
; mvscar1	;  	; Marvel vs Capcom - clash of super heroes (980112 Asia); mvsc		; 1998	; Capcom	; CPS2		; 					;
; mvscr1	;  	; Marvel vs Capcom - clash of super heroes (980112 Euro); mvsc		; 1998	; Capcom	; CPS2		; 					;
; mvscjr1	;  	; Marvel vs Capcom - clash of super heroes (980112 Japan; mvsc		; 1998	; Capcom	; CPS2		; 					;
; mvsca		;  	; Marvel vs Capcom - clash of super heroes (980123 Asia); mvsc		; 1998	; Capcom	; CPS2		; 					;
; mvscb		;  	; Marvel vs Capcom - clash of super heroes (980123 Brazi; mvsc		; 1998	; Capcom	; CPS2		; 					;
; mvsc		;  	; Marvel vs Capcom - clash of super heroes (980123 Euro); 		; 1998	; Capcom	; CPS2		; 					;
; mvsch		;  	; Marvel vs Capcom - clash of super heroes (980123 Hispa; mvsc		; 1998	; Capcom	; CPS2		; 					;
; mvscj		;  	; Marvel vs Capcom - clash of super heroes (980123 Japan; mvsc		; 1998	; Capcom	; CPS2		; 					;
; mvscud	;  	; Marvel vs Capcom - clash of super heroes (980123 USA P; mvsc		; 1998	; bootleg	; CPS2		; 					;
; mvscu		;  	; Marvel vs Capcom - clash of super heroes (980123 USA)	; mvsc		; 1998	; Capcom	; CPS2		; 					;
; megaman	;  	; Mega Man - the power battle (951006 Asia)		; 		; 1995	; Capcom	; CPS1		; 					;
; mmancp2u	;  	; Mega Man - The Power Battle (951006 USA, SAMPLE Versio; megaman	; 1999	; Capcom	; CPS2		; 					;
; megamn2a	;  	; Mega Man 2 - the power fighters (960708 Asia)		; megaman2	; 1996	; Capcom	; CPS2		; 					;
; megamn2d	;  	; Mega Man 2 - the power fighters (960708 USA Phoenix Ed; megaman2	; 1996	; bootleg	; CPS2		; 					;
; megaman2	;  	; Mega Man 2 - the power fighters (960708 USA)		; 		; 1996	; Capcom	; CPS2		; 					;
; mtwins	;  	; Mega Twins (chiki chiki boys 900619 etc)		; 		; 1990	; Capcom	; CPS1		; 					;
; mercs		;  	; Mercs (900302 etc)					; 		; 1990	; Capcom	; CPS1		; 					;
; mercsu	;  	; Mercs (900302 USA)					; mercs		; 1990	; Capcom	; CPS1		; 					;
; mercsua	;  	; Mercs (900608 USA)					; mercs		; 1990	; Capcom	; CPS1		; 					;
; mpang		;  	; Mighty! Pang (001010 Euro)				; 		; 2000	; Mitchell	; CPS2		; 					;
; mpangu	;  	; Mighty! Pang (001010 USA)				; mpang		; 2000	; Mitchell	; CPS2		; 					;
; mpangj	;  	; Mighty! Pang (001011 Japan)				; mpang		; 2000	; Mitchell	; CPS2		; 					;
; mbomberj	;  	; Muscle Bomber - the body explosion (930713 Japan)	; slammast	; 1993	; Capcom	; CPS1		; 					;
; mbombdje	; X	; Muscle Bomber Duo - heat up warriors (931206 Japan E)	; mbombrd	; 1993	; Capcom	; CPS1		; 					;
; mbombrdj	;  	; Muscle Bomber Duo - heat up warriors (931206 Japan)	; mbombrd	; 1993	; Capcom	; CPS1		; 					;
; mbombrda	; X	; Muscle Bomber Duo - ultimate team battle (931206 Asia); mbombrd	; 1993	; Capcom	; CPS1		; 					;
; mbombrd	;  	; Muscle Bomber Duo - ultimate team battle (931206 etc)	; 		; 1993	; Capcom	; CPS1		; 					;
; mbombrdh	; X	; Muscle Bomber Duo - ultimate team battle (931206 Hispa; mbombrd	; 1993	; Capcom	; CPS1		; 					;
; mbombrdu	; X	; Muscle Bomber Duo - ultimate team battle (931206 USA)	; mbombrd	; 1993	; Capcom	; CPS1		; 					;
; nemoj		;  	; Nemo (90 11 20 Japan)					; nemo		; 1990	; Capcom	; CPS1		; 					;
; nemo		;  	; Nemo (90 11 30 etc)					; 		; 1990	; Capcom	; CPS1		; 					;
; nwarr		;  	; Night Warriors - darkstalkers' revenge (950316 Euro)	; 		; 1995	; Capcom	; CPS2		; 					;
; nwarrb	;  	; Night Warriors - darkstalkers' revenge (950403 Brazil); nwarr		; 1995	; Capcom	; CPS2		; 					;
; nwarrh	;  	; Night Warriors - darkstalkers' revenge (950403 Hispani; nwarr		; 1995	; Capcom	; CPS2		; 					;
; nwarrud	;  	; Night Warriors - darkstalkers' revenge (950406 USA Pho; nwarr		; 1995	; bootleg	; CPS2		; 					;
; nwarru	;  	; Night Warriors - darkstalkers' revenge (950406 USA)	; nwarr		; 1995	; Capcom	; CPS2		; 					;
; pang3		;  	; Pang! 3 (950511 Euro)					; 		; 1995	; Mitchell	; CPS1		; 					;
; pang3j	;  	; Pang! 3 (950511 Japan)				; pang3		; 1995	; Mitchell	; CPS1		; 					;
; pnickj	;  	; Pnickies (940608 Japan)				; 		; 1994	; Compile (Capco; CPS1		; 					;
; pnicku	; X	; Pnickies (940608 USA)					; pnickj	; 1994	; Compile (Capco; CPS1		; 					;
; pfghtj	;  	; Pocket Fighter (970904 Japan)				; sgemf		; 1997	; Capcom	; CPS2		; 					;
; pgearr1	;  	; Powered Gear - strategic variant armor equipment (9409; armwar	; 1994	; Capcom	; CPS2		; 					;
; pgear		;  	; Powered Gear - strategic variant armor equipment (9410; armwar	; 1994	; Capcom	; CPS2		; 					;
